case_id,kappa,theta0_target_rad,phi_deg,alpha,beta,Qx_ref,Qy_ref,x_tip_ref_mm,y_tip_ref_mm,Fx_N,Fz_N,Mx_Nm,load_description,study_name,mesh_size_mm,element_size_target_mm,total_nodes,total_elements,uy_tip_mm,uz_tip_mm,max_resultant_displacement_mm,max_von_mises_mpa,max_equivalent_strain,solver_status,notes,word_report_file_name,Qx_fea,Qy_fea,x_tip_fea_mm,y_tip_fea_mm,Qx_error_percent,Qy_error_percent,tip_error_percent,x_tip_error_mm,y_tip_error_mm,tip_error_mm,stress_safety_factor,stress_margin_MPa
1,0,0.5,90,0.54984,0.0,0.93378,0.32591,93.37775,32.59074,0,-0.09164,0.0,pure force low deflection,Case01_k0_theta0_0p5_V2,0.50023,0.5,119036,73991,-6.714,-32.24,32.84,5.599,0.004297,converged,First SolidWorks run. Load applied in global negative Z direction. Need to fill uY_tip_mm and uZ_tip_mm from displacement component probe.,3D_Rectangular_Solid_Beam_V2-Case01_k0_theta0_0p5_V2-1,0.93286,0.3224,93.286,32.24,0.09200000000000319,0.35099999999999576,0.3628567210346222,0.09175000000000466,0.3507399999999947,0.3625418735815177,5.358099660653688,24.401
2,0,1.0,90,1.5435,0.0,0.73836,0.61037,73.83564,61.03718,0,-0.25725,0.0,pure force medium deflection,Case02_k0_theta0_1p0_V2,0.5,0.5,119036,73991,-26.06,-60.63,65.66,12.58,0.009344,converged,Case 2 report was run with positive global Z force; uZ was sign-flipped for consistency with the project convention Qy_fea=-uZ/100.,3D_Rectangular_Solid_Beam_V2-Case02_k0_theta0_1p0_V2-2,0.7394,0.6063000000000001,73.94,60.63000000000001,0.10399999999999299,0.4069999999999907,0.42007737382533583,0.10435999999999979,0.40717999999998966,0.42034100680279995,2.384737678855326,17.42
3,0,1.4,90,4.40321,0.0,0.47308,0.79655,47.30779,79.65534,0,-0.73387,0.0,pure force high deflection,Case03_k0_theta0_1p4_V2,0.5,0.5,119036,73991,-52.49,-79.52,94.74,22.65,0.01739,converged,Pure-force high-deflection case. Load applied as Fz=-0.73387 N using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case03_k0_theta0_1p4_V2-4,0.47509999999999997,0.7951999999999999,47.51,79.52,0.20199999999999663,0.13500000000000734,0.2429588442514506,0.2022100000000009,0.13533999999999935,0.24332241923012393,1.3245033112582782,7.350000000000001
4,1,1.0,90,0.18537,0.8611,0.82919,0.48186,82.9189,48.1862,0,-0.0309,-0.00717585,mixed load sensitive case,Case04_k1_theta0_1p0_V2,0.5,0.5,119036,73991,-10.99,-39.19,40.52,6.144,0.004011,converged,Sensitive mixed force and moment case. Load applied as Fz=-0.03090 N and Mx=-0.00717585 N-m using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case04_k1_theta0_1p0_V2-2,0.8901,0.39189999999999997,89.01,39.19,6.091000000000002,8.996000000000004,10.864082888122683,6.0911000000000115,8.996200000000002,10.864304563569643,4.8828125,23.856
5,1,2.0,90,0.86948,1.86492,0.40943,0.74275,40.94263,74.27531,0,-0.14491,-0.01554098,mixed load sensitive case,Case05_k1_theta0_2p0_V2,0.5,0.5,119036,73991,-28.68,-61.2,67.19,14.86,0.008696,converged,High-deflection kappa=1 mixed force and moment case. Load applied as Fz=-0.14491 N and Mx=-0.015541 N-m using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case05_k1_theta0_2p0_V2-3,0.7132,0.612,71.32,61.199999999999996,30.376999999999992,13.075000000000003,33.07140387101823,30.377369999999992,13.075310000000009,33.071866287117814,2.018842530282638,15.14
6,1,2.5,90,1.89869,2.75586,0.19181,0.75806,19.18147,75.80551,0,-0.31645,-0.02296548,high-slope sensitive case,Case06_k1_theta0_2p5_V2,0.5,0.5,119036,73991,-40.91,-71.22,81.64,23.1,0.01307,converged,High-slope kappa=1 mixed force and moment case. Load applied as Fz=-0.31645 N and Mx=-0.0229655 N-m using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case06_k1_theta0_2p5_V2-4,0.5909,0.7121999999999999,59.089999999999996,71.22,39.90899999999999,4.586000000000001,40.17162776139398,39.90853,4.585509999999999,40.171104897936274,1.2987012987012987,6.899999999999999
7,2,1.0,90,0.10582,0.92007,0.83449,0.47249,83.44889,47.24924,0,-0.01764,-0.00766721,mixed force and moment,Case07_k2_theta0_1p0_V2,0.5,0.5,119036,73991,-10.18,-37.52,38.7,6.548,0.004222,converged,Mixed force and moment case. Load applied as Fz=-0.01764 N and Mx=-0.00766721 N-m using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case07_k2_theta0_1p0_V2-2,0.8981999999999999,0.37520000000000003,89.82,37.52,6.370999999999993,9.729,11.62940591775865,6.371109999999987,9.729239999999997,11.629666960394859,4.581551618814905,23.451999999999998
8,2,2.0,90,0.46042,1.91921,0.42953,0.72779,42.95277,72.77887,0,-0.07674,-0.0159934,mixed force and moment,Case08_k2_theta0_2p0_V2,0.5,0.5,119036,73991,-23.4,-55.48,59.86,14.81,0.00881,converged,High-deflection kappa=2 mixed force and moment case. Load applied as Fz=-0.07674 N and Mx=-0.0159934 N-m using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case08_k2_theta0_2p0_V2-4,0.7659999999999999,0.5548,76.6,55.48,33.64699999999999,17.29900000000001,37.83353023443622,33.64722999999999,17.29887,37.83367534287146,2.025658338960162,15.19
9,50,1.0,90,0.00496,0.99621,0.84115,0.46031,84.11455,46.03062,0,-0.00083,-0.00830178,moment-dominant,Case09_k50_theta0_1p0_V2,0.5,0.5,119036,73991,-9.189,-35.36,36.37,7.068,0.004566,converged,Moment-dominant case. Load applied as Fz=-0.00083 N and Mx=-0.00830178 N-m using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case09_k50_theta0_1p0_V2-1,0.9081100000000001,0.35359999999999997,90.811,35.36,6.696000000000013,10.671000000000003,12.597883036447044,6.696450000000013,10.67062,12.597800355097716,4.244482173174873,22.932000000000002
10,50,2.5,90,0.03133,2.50308,0.23838,0.72122,23.83827,72.12245,0,-0.00522,-0.02085903,high moment-dominant,Case10_k50_theta0_2p5_V2,0.5,0.5,119036,73991,-20.23,-50.81,54.36,19.23,0.01148,converged,High-deflection moment-dominant case. Load applied as Fz=-0.00522 N and Mx=-0.020859 N-m using global coordinates.,3D_Rectangular_Solid_Beam_V2-Case10_k50_theta0_2p5_V2-3,0.7977,0.5081,79.77,50.81,55.931999999999995,21.311999999999998,59.85474056413577,55.931729999999995,21.31245,59.85464848944816,1.5600624024960998,10.77
